Antecedente;Valor;Consequente;Valor;Conf;Lift;Lev;Conv
ren toi ;34778;verif-instalacao-bt ;1070;0,03;2,34;0;1,02
ren verif-instalacao-bt ;10484;toi ;1070;0,1;13,72;0;1,11
toi ;34778;ren verif-instalacao-bt ;1070;0,03;13,72;0;1,03
toi ;34778;verif-instalacao-bt ;1070;0,03;2,34;0;1,02
verif-instalacao-bt ;61563;ren toi ;1070;0,02;2,34;0;1,01
verif-instalacao-bt ;61563;toi ;1070;0,02;2,34;0;1,01
verif-instalacao-bt toi ;1070;ren ;1070;1;15,23;0;999,74
processo ;79963;religacao-bt verif-instalacao-bt ;1068;0,01;6,84;0;1,01
processo verif-instalacao-bt ;2925;religacao-bt ;1068;0,37;4,45;0;1,45
religacao-bt ;383478;processo verif-instalacao-bt ;1068;0;4,45;0;1
religacao-bt processo ;16272;verif-instalacao-bt ;1068;0,07;4,98;0;1,06
religacao-bt verif-instalacao-bt ;9126;processo ;1068;0,12;6,84;0;1,11
verif-instalacao-bt ;61563;religacao-bt processo ;1068;0,02;4,98;0;1,01
alterar-carga-bt ;13586;reclamacao vistoria-bt ;1053;0,08;241,99;0;1,08
alterar-carga-bt vistoria-bt ;7659;reclamacao ;1053;0,14;3,1;0;1,11
reclamacao ;207044;alterar-carga-bt vistoria-bt ;1053;0,01;3,1;0;1
reclamacao alterar-carga-bt ;2044;vistoria-bt ;1053;0,52;180,81;0;2,05
reclamacao vistoria-bt ;1497;alterar-carga-bt ;1053;0,7;241,99;0;3,35
vistoria-bt ;13317;reclamacao alterar-carga-bt ;1053;0,08;180,81;0;1,09
modifmanut-medic-bt ;49414;reclamacao substituicao-bt ;1045;0,02;16,01;0;1,02
modifmanut-medic-bt substituicao-bt ;4263;reclamacao ;1045;0,25;5,53;0;1,27
reclamacao ;207044;modifmanut-medic-bt substituicao-bt ;1045;0,01;5,53;0;1
reclamacao modifmanut-medic-bt ;10674;substituicao-bt ;1045;0,1;17,92;0;1,1
reclamacao substituicao-bt ;6174;modifmanut-medic-bt ;1045;0,17;16,01;0;1,19
substituicao-bt ;25541;reclamacao modifmanut-medic-bt ;1045;0,04;17,92;0;1,04
afericao-bt ;27085;negativacao verif-instalacao-bt ;1043;0,04;9,29;0;1,04
negativacao ;913226;verif-instalacao-bt afericao-bt ;1043;0;2,21;0;1
negativacao afericao-bt ;11442;verif-instalacao-bt ;1043;0,09;6,92;0;1,09
negativacao verif-instalacao-bt ;19365;afericao-bt ;1043;0,05;9,29;0;1,05
verif-instalacao-bt ;61563;negativacao afericao-bt ;1043;0,02;6,92;0;1,01
verif-instalacao-bt afericao-bt ;2419;negativacao ;1043;0,43;2,21;0;1,41
afericao-bt ;27085;religacao-bt processo ;1042;0,04;11,05;0;1,04
processo ;79963;religacao-bt afericao-bt ;1042;0,01;9,9;0;1,01
processo afericao-bt ;2627;religacao-bt ;1042;0,4;4,83;0;1,52
religacao-bt ;383478;processo afericao-bt ;1042;0;4,83;0;1
religacao-bt afericao-bt ;6154;processo ;1042;0,17;9,9;0;1,18
religacao-bt processo ;16272;afericao-bt ;1042;0,06;11,05;0;1,06
religacao-bt ;383478;verif-instalacao-bt substituicao-bt ;1035;0;2,16;0;1
religacao-bt substituicao-bt ;4622;verif-instalacao-bt ;1035;0,22;17;0;1,27
religacao-bt verif-instalacao-bt ;9126;substituicao-bt ;1035;0,11;20,75;0;1,12
substituicao-bt ;25541;religacao-bt verif-instalacao-bt ;1035;0,04;20,75;0;1,04
verif-instalacao-bt ;61563;religacao-bt substituicao-bt ;1035;0,02;17;0;1,02
verif-instalacao-bt substituicao-bt ;5846;religacao-bt ;1035;0,18;2,16;0;1,12
afericao-bt ;27085;reclamacao modifmanut-medic-bt ;1034;0,04;16,72;0;1,04
modifmanut-medic-bt ;49414;reclamacao afericao-bt ;1034;0,02;7,94;0;1,02
modifmanut-medic-bt afericao-bt ;1651;reclamacao ;1034;0,63;14,14;0;2,55
reclamacao ;207044;modifmanut-medic-bt afericao-bt ;1034;0;14,14;0;1
reclamacao afericao-bt ;12320;modifmanut-medic-bt ;1034;0,08;7,94;0;1,08
reclamacao modifmanut-medic-bt ;10674;afericao-bt ;1034;0,1;16,72;0;1,1
corte-bt ;489093;verif-instalacao-bt substituicao-bt ;1032;0;1,69;0;1
corte-bt substituicao-bt ;4344;verif-instalacao-bt ;1032;0,24;18,04;0;1,29
corte-bt verif-instalacao-bt ;11365;substituicao-bt ;1032;0,09;16,62;0;1,09
substituicao-bt ;25541;corte-bt verif-instalacao-bt ;1032;0,04;16,62;0;1,04
verif-instalacao-bt ;61563;corte-bt substituicao-bt ;1032;0,02;18,04;0;1,02
verif-instalacao-bt substituicao-bt ;5846;corte-bt ;1032;0,18;1,69;0;1,09
modifmanut-medic-bt ;49414;negativacao verif-instalacao-bt ;1029;0,02;5,03;0;1,02
negativacao ;913226;verif-instalacao-bt modifmanut-medic-bt ;1029;0;1,65;0;1
negativacao modifmanut-medic-bt ;15703;verif-instalacao-bt ;1029;0,07;4,98;0;1,06
negativacao verif-instalacao-bt ;19365;modifmanut-medic-bt ;1029;0,05;5,03;0;1,04
verif-instalacao-bt ;61563;negativacao modifmanut-medic-bt ;1029;0,02;4,98;0;1,01
verif-instalacao-bt modifmanut-medic-bt ;3192;negativacao ;1029;0,32;1,65;0;1,19
negativacao ;913226;veriftensao-fornec ;1022;0;1,5;0;1
veriftensao-fornec ;3497;negativacao ;1022;0,29;1,5;0;1,14
fiscalizacao-bt ;64097;negativacao verif-instalacao-bt ;1005;0,02;3,78;0;1,01
fiscalizacao-bt verif-instalacao-bt ;1754;negativacao ;1005;0,57;2,93;0;1,88
negativacao ;913226;fiscalizacao-bt verif-instalacao-bt ;1005;0;2,93;0;1
negativacao fiscalizacao-bt ;35516;verif-instalacao-bt ;1005;0,03;2,15;0;1,02
negativacao verif-instalacao-bt ;19365;fiscalizacao-bt ;1005;0,05;3,78;0;1,04
verif-instalacao-bt ;61563;negativacao fiscalizacao-bt ;1005;0,02;2,15;0;1,01
afericao-bt ;27085;corte-bt processo ;1003;0,04;9,3;0;1,03
corte-bt ;489093;processo afericao-bt ;1003;0;3,65;0;1
corte-bt ;489093;processo verif-instalacao-bt ;1003;0;3,28;0;1
corte-bt afericao-bt ;6642;processo ;1003;0,15;8,83;0;1,16
corte-bt processo ;18620;afericao-bt ;1003;0,05;9,3;0;1,05
corte-bt processo ;18620;verif-instalacao-bt ;1003;0,05;4,09;0;1,04
corte-bt verif-instalacao-bt ;11365;processo ;1003;0,09;5,16;0;1,08
processo ;79963;corte-bt afericao-bt ;1003;0,01;8,83;0;1,01
processo ;79963;corte-bt verif-instalacao-bt ;1003;0,01;5,16;0;1,01
processo afericao-bt ;2627;corte-bt ;1003;0,38;3,65;0;1,45
processo verif-instalacao-bt ;2925;corte-bt ;1003;0,34;3,28;0;1,36
verif-instalacao-bt ;61563;corte-bt processo ;1003;0,02;4,09;0;1,01
fiscalizacao-bt ;64097;retirada-bt ;998;0,02;36,7;0;1,02
retirada-bt ;1983;fiscalizacao-bt ;998;0,5;36,7;0;1,98
corte-bt ;489093;fiscalizacao-bt modifmanut-medic-bt ;996;0;7,14;0;1
corte-bt fiscalizacao-bt ;46776;modifmanut-medic-bt ;996;0,02;2,01;0;1,01
corte-bt modifmanut-medic-bt ;8508;fiscalizacao-bt ;996;0,12;8,54;0;1,12
fiscalizacao-bt ;64097;corte-bt modifmanut-medic-bt ;996;0,02;8,54;0;1,01
fiscalizacao-bt modifmanut-medic-bt ;1333;corte-bt ;996;0,75;7,14;0;3,53
modifmanut-medic-bt ;49414;corte-bt fiscalizacao-bt ;996;0,02;2,01;0;1,01
afericao-bt ;27085;fiscalizacao-bt ;995;0,04;2,68;0;1,02
fiscalizacao-bt ;64097;afericao-bt ;995;0,02;2,68;0;1,01
desligamento-bt ;9259;religacao-bt ;992;0,11;1,31;0;1,03
religacao-bt ;383478;desligamento-bt ;992;0;1,31;0;1
alterar-carga-bt ;13586;religacao-bt vistoria-bt ;987;0,07;261,2;0;1,08
alterar-carga-bt vistoria-bt ;7659;religacao-bt ;987;0,13;1,57;0;1,05
religacao-bt ;383478;alterar-carga-bt vistoria-bt ;987;0;1,57;0;1
religacao-bt alterar-carga-bt ;1387;vistoria-bt ;987;0,71;249,76;0;3,45
religacao-bt vistoria-bt ;1300;alterar-carga-bt ;987;0,76;261,2;0;4,13
vistoria-bt ;13317;religacao-bt alterar-carga-bt ;987;0,07;249,76;0;1,08
ren ;306902;verif-instalacao-bt substituicao-bt ;947;0;2,47;0;1
ren substituicao-bt ;2315;verif-instalacao-bt ;947;0,41;31,06;0;1,67
ren verif-instalacao-bt ;10484;substituicao-bt ;947;0,09;16,53;0;1,09
substituicao-bt ;25541;ren verif-instalacao-bt ;947;0,04;16,53;0;1,04
verif-instalacao-bt ;61563;ren substituicao-bt ;947;0,02;31,06;0;1,02
verif-instalacao-bt substituicao-bt ;5846;ren ;947;0,16;2,47;0;1,11
afericao-bt ;27085;ren reclamacao ;921;0,03;10,25;0;1,03
reclamacao ;207044;ren afericao-bt ;921;0;10,58;0;1
reclamacao afericao-bt ;12320;ren ;921;0,07;1,14;0;1,01
ren ;306902;reclamacao afericao-bt ;921;0;1,14;0;1
ren afericao-bt ;1966;reclamacao ;921;0,47;10,58;0;1,8
ren reclamacao ;15503;afericao-bt ;921;0,06;10,25;0;1,06
modifmanut-medic-bt ;49414;solicitacaoouvidoria ;902;0,02;6,16;0;1,02
solicitacaoouvidoria ;13841;modifmanut-medic-bt ;902;0,07;6,16;0;1,06
processo ;79963;reclamacao solicitacaoouvidoria ;897;0,01;7,62;0;1,01
processo solicitacaoouvidoria ;1420;reclamacao ;897;0,63;14,26;0;2,59
reclamacao ;207044;processo solicitacaoouvidoria ;897;0;14,26;0;1
reclamacao processo ;10605;solicitacaoouvidoria ;897;0,08;28,56;0;1,09
reclamacao solicitacaoouvidoria ;6878;processo ;897;0,13;7,62;0;1,13
solicitacaoouvidoria ;13841;reclamacao processo ;897;0,06;28,56;0;1,07
dados-do-atendimento ;1989;negativacao ;888;0,45;2,28;0;1,45
negativacao ;913226;dados-do-atendimento ;888;0;2,28;0;1
dados-do-atendimento ;1989;reclamacao ;875;0,44;9,93;0;1,7
reclamacao ;207044;dados-do-atendimento ;875;0;9,93;0;1
corte-bt ;489093;reclamacao toi ;865;0;3,87;0;1
corte-bt ;489093;retirada-bt ;865;0;4,17;0;1
corte-bt reclamacao ;55364;toi ;865;0,02;2,1;0;1,01
corte-bt toi ;10567;reclamacao ;865;0,08;1,85;0;1,04
reclamacao ;207044;corte-bt toi ;865;0;1,85;0;1
reclamacao toi ;2136;corte-bt ;865;0,4;3,87;0;1,5
retirada-bt ;1983;corte-bt ;865;0,44;4,17;0;1,59
toi ;34778;corte-bt reclamacao ;865;0,02;2,1;0;1,01
modifmanut-medic-bt ;49414;reclamacao processo ;862;0,02;7,69;0;1,02
processo ;79963;reclamacao modifmanut-medic-bt ;862;0,01;4,72;0;1,01
processo modifmanut-medic-bt ;2221;reclamacao ;862;0,39;8,76;0;1,56
reclamacao ;207044;processo modifmanut-medic-bt ;862;0;8,76;0;1
reclamacao modifmanut-medic-bt ;10674;processo ;862;0,08;4,72;0;1,07
reclamacao processo ;10605;modifmanut-medic-bt ;862;0,08;7,69;0;1,08
corte-bt ;489093;processo toi ;860;0;3,27;0;1
corte-bt processo ;18620;toi ;860;0,05;6,21;0;1,04
corte-bt toi ;10567;processo ;860;0,08;4,76;0;1,07
processo ;79963;corte-bt toi ;860;0,01;4,76;0;1,01
processo toi ;2516;corte-bt ;860;0,34;3,27;0;1,36
toi ;34778;corte-bt processo ;860;0,02;6,21;0;1,02
afericao-bt ;27085;corte-bt fiscalizacao-bt ;859;0,03;3,17;0;1,02
corte-bt ;489093;fiscalizacao-bt afericao-bt ;859;0;8,25;0;1
corte-bt afericao-bt ;6642;fiscalizacao-bt ;859;0,13;9,43;0;1,13
corte-bt fiscalizacao-bt ;46776;afericao-bt ;859;0,02;3,17;0;1,01
fiscalizacao-bt ;64097;corte-bt afericao-bt ;859;0,01;9,43;0;1,01
fiscalizacao-bt afericao-bt ;995;corte-bt ;859;0,86;8,25;0;6,5
corte-bt ;489093;retificacao-nome-end ;858;0;1,24;0;1
retificacao-nome-end ;6637;corte-bt ;858;0,13;1,24;0;1,03
modifmanut-medic-bt ;49414;negativacao processo ;855;0,02;3;0;1,01
negativacao ;913226;processo modifmanut-medic-bt ;855;0;1,97;0;1
negativacao modifmanut-medic-bt ;15703;processo ;855;0,05;3,18;0;1,04
negativacao processo ;26936;modifmanut-medic-bt ;855;0,03;3;0;1,02
processo ;79963;negativacao modifmanut-medic-bt ;855;0,01;3,18;0;1,01
processo modifmanut-medic-bt ;2221;negativacao ;855;0,38;1,97;0;1,31
acompanhamento-bt ;3497;negativacao ;837;0,24;1,23;0;1,06
negativacao ;913226;acompanhamento-bt ;837;0;1,23;0;1
afericao-bt ;27085;corte-bt verif-instalacao-bt ;801;0,03;12,16;0;1,03
corte-bt ;489093;verif-instalacao-bt afericao-bt ;801;0;3,16;0;1
corte-bt afericao-bt ;6642;verif-instalacao-bt ;801;0,12;9,16;0;1,12
corte-bt verif-instalacao-bt ;11365;afericao-bt ;801;0,07;12,16;0;1,07
verif-instalacao-bt ;61563;corte-bt afericao-bt ;801;0,01;9,16;0;1,01
verif-instalacao-bt afericao-bt ;2419;corte-bt ;801;0,33;3,16;0;1,34
fiscalizacao-bt ;64097;religacao-bt verif-instalacao-bt ;795;0,01;6,35;0;1,01
fiscalizacao-bt verif-instalacao-bt ;1754;religacao-bt ;795;0,45;5,52;0;1,68
religacao-bt ;383478;fiscalizacao-bt verif-instalacao-bt ;795;0;5,52;0;1
religacao-bt fiscalizacao-bt ;28078;verif-instalacao-bt ;795;0,03;2,15;0;1,02
religacao-bt verif-instalacao-bt ;9126;fiscalizacao-bt ;795;0,09;6,35;0;1,08
verif-instalacao-bt ;61563;religacao-bt fiscalizacao-bt ;795;0,01;2,15;0;1,01
negativacao ;913226;processo toi ;787;0;1,6;0;1
negativacao processo ;26936;toi ;787;0,03;3,93;0;1,02
negativacao toi ;8644;processo ;787;0,09;5,32;0;1,08
processo ;79963;negativacao toi ;787;0,01;5,32;0;1,01
processo toi ;2516;negativacao ;787;0,31;1,6;0;1,17
toi ;34778;negativacao processo ;787;0,02;3,93;0;1,02
dados-do-atendimento ;1989;religacao-bt ;786;0,4;4,82;0;1,52
religacao-bt ;383478;dados-do-atendimento ;786;0;4,82;0;1
desligamento-bt ;9259;fiscalizacao-bt ;781;0,08;6,15;0;1,08
fiscalizacao-bt ;64097;desligamento-bt ;781;0,01;6,15;0;1,01
corte-bt ;489093;dados-do-atendimento ;769;0;3,69;0;1
dados-do-atendimento ;1989;corte-bt ;769;0,39;3,69;0;1,46
fiscalizacao-bt ;64097;ren processo ;769;0,01;5;0;1,01
processo ;79963;ren fiscalizacao-bt ;769;0,01;3,53;0;1,01
processo fiscalizacao-bt ;2926;ren ;769;0,26;4;0;1,27
ren ;306902;processo fiscalizacao-bt ;769;0;4;0;1
ren fiscalizacao-bt ;12739;processo ;769;0,06;3,53;0;1,05
ren processo ;11224;fiscalizacao-bt ;769;0,07;5;0;1,06
negativacao ;913226;ren substituicao-bt ;763;0;1,69;0;1
negativacao ren ;79738;substituicao-bt ;763;0,01;1,75;0;1
negativacao substituicao-bt ;9169;ren ;763;0,08;1,27;0;1,02
ren ;306902;negativacao substituicao-bt ;763;0;1,27;0;1
ren substituicao-bt ;2315;negativacao ;763;0,33;1,69;0;1,2
substituicao-bt ;25541;negativacao ren ;763;0,03;1,75;0;1,01
modifmanut-medic-bt ;49414;religacao-bt processo ;762;0,02;4,43;0;1,01
processo ;79963;religacao-bt modifmanut-medic-bt ;762;0,01;5,75;0;1,01
processo modifmanut-medic-bt ;2221;religacao-bt ;762;0,34;4,18;0;1,4
religacao-bt ;383478;processo modifmanut-medic-bt ;762;0;4,18;0;1
religacao-bt modifmanut-medic-bt ;7741;processo ;762;0,1;5,75;0;1,09
religacao-bt processo ;16272;modifmanut-medic-bt ;762;0,05;4,43;0;1,04
fiscalizacao-bt ;64097;negativacao modifmanut-medic-bt ;746;0,01;3,46;0;1,01
fiscalizacao-bt modifmanut-medic-bt ;1333;negativacao ;746;0,56;2,86;0;1,82
modifmanut-medic-bt ;49414;negativacao fiscalizacao-bt ;746;0,02;1,99;0;1,01
negativacao ;913226;fiscalizacao-bt modifmanut-medic-bt ;746;0;2,86;0;1
negativacao fiscalizacao-bt ;35516;modifmanut-medic-bt ;746;0,02;1,99;0;1,01
negativacao modifmanut-medic-bt ;15703;fiscalizacao-bt ;746;0,05;3,46;0;1,04
fiscalizacao-bt ;64097;reclamacao verif-instalacao-bt ;738;0,01;2,59;0;1,01
fiscalizacao-bt verif-instalacao-bt ;1754;reclamacao ;738;0,42;9,5;0;1,65
reclamacao ;207044;fiscalizacao-bt verif-instalacao-bt ;738;0;9,5;0;1
reclamacao ;207044;veriftensao-fornec ;738;0;4,76;0;1
reclamacao fiscalizacao-bt ;6627;verif-instalacao-bt ;738;0,11;8,45;0;1,11
reclamacao verif-instalacao-bt ;20774;fiscalizacao-bt ;738;0,04;2,59;0;1,02
verif-instalacao-bt ;61563;reclamacao fiscalizacao-bt ;738;0,01;8,45;0;1,01
veriftensao-fornec ;3497;reclamacao ;738;0,21;4,76;0;1,21
afericao-bt ;27085;negativacao ren ;733;0,03;1,59;0;1,01
negativacao ;913226;ren afericao-bt ;733;0;1,91;0;1
negativacao ren ;79738;afericao-bt ;733;0,01;1,59;0;1
ren afericao-bt ;1966;negativacao ;733;0,37;1,91;0;1,28
modifmanut-medic-bt ;49414;ren verif-instalacao-bt ;730;0,01;6,59;0;1,01
ren ;306902;verif-instalacao-bt modifmanut-medic-bt ;730;0;3,48;0;1
ren modifmanut-medic-bt ;7112;verif-instalacao-bt ;730;0,1;7,79;0;1,1
ren verif-instalacao-bt ;10484;modifmanut-medic-bt ;730;0,07;6,59;0;1,06
verif-instalacao-bt ;61563;ren modifmanut-medic-bt ;730;0,01;7,79;0;1,01
verif-instalacao-bt modifmanut-medic-bt ;3192;ren ;730;0,23;3,48;0;1,21
alterar-carga-bt ;13586;negativacao religacao-bt ;713;0,05;1,04;0;1
negativacao ;913226;religacao-bt alterar-carga-bt ;713;0;2,63;0;1
negativacao alterar-carga-bt ;3649;religacao-bt ;713;0,2;2,38;0;1,14
negativacao religacao-bt ;236137;alterar-carga-bt ;713;0;1,04;0;1
religacao-bt ;383478;negativacao alterar-carga-bt ;713;0;2,38;0;1
religacao-bt alterar-carga-bt ;1387;negativacao ;713;0,51;2,63;0;1,65
negativacao ;913226;religacao-bt vistoria-bt ;712;0;2,8;0;1
negativacao religacao-bt ;236137;vistoria-bt ;712;0;1,06;0;1
negativacao vistoria-bt ;3828;religacao-bt ;712;0,19;2,27;0;1,13
religacao-bt ;383478;negativacao vistoria-bt ;712;0;2,27;0;1
religacao-bt vistoria-bt ;1300;negativacao ;712;0,55;2,8;0;1,78
vistoria-bt ;13317;negativacao religacao-bt ;712;0,05;1,06;0;1
negativacao ;913226;reclamacao toi ;707;0;1,69;0;1
negativacao reclamacao ;82075;toi ;707;0,01;1,16;0;1
negativacao toi ;8644;reclamacao ;707;0,08;1,85;0;1,04
reclamacao ;207044;negativacao toi ;707;0;1,85;0;1
reclamacao toi ;2136;negativacao ;707;0,33;1,69;0;1,2
toi ;34778;negativacao reclamacao ;707;0,02;1,16;0;1
corte-bt ;489093;verif-instalacao-bt modifmanut-medic-bt ;702;0;2,1;0;1
corte-bt modifmanut-medic-bt ;8508;verif-instalacao-bt ;702;0,08;6,26;0;1,08
corte-bt verif-instalacao-bt ;11365;modifmanut-medic-bt ;702;0,06;5,84;0;1,05
modifmanut-medic-bt ;49414;corte-bt verif-instalacao-bt ;702;0,01;5,84;0;1,01
verif-instalacao-bt ;61563;corte-bt modifmanut-medic-bt ;702;0,01;6,26;0;1,01
verif-instalacao-bt modifmanut-medic-bt ;3192;corte-bt ;702;0,22;2,1;0;1,15
afericao-bt ;27085;corte-bt substituicao-bt ;699;0,03;27,77;0;1,03
afericao-bt substituicao-bt ;2901;corte-bt ;699;0,24;2,3;0;1,18
corte-bt ;489093;afericao-bt substituicao-bt ;699;0;2,3;0;1
corte-bt afericao-bt ;6642;substituicao-bt ;699;0,11;19,26;0;1,11
corte-bt substituicao-bt ;4344;afericao-bt ;699;0,16;27,77;0;1,18
substituicao-bt ;25541;corte-bt afericao-bt ;699;0,03;19,26;0;1,03
afericao-bt ;27085;religacao-bt verif-instalacao-bt ;697;0,03;13,18;0;1,02
religacao-bt ;383478;verif-instalacao-bt afericao-bt ;697;0;3,51;0;1
religacao-bt afericao-bt ;6154;verif-instalacao-bt ;697;0,11;8,6;0;1,11
religacao-bt verif-instalacao-bt ;9126;afericao-bt ;697;0,08;13,18;0;1,08
verif-instalacao-bt ;61563;religacao-bt afericao-bt ;697;0,01;8,6;0;1,01
verif-instalacao-bt afericao-bt ;2419;religacao-bt ;697;0,29;3,51;0;1,29
afericao-bt ;27085;negativacao fiscalizacao-bt ;691;0,03;3,36;0;1,02
fiscalizacao-bt ;64097;negativacao afericao-bt ;691;0,01;4,4;0;1,01
fiscalizacao-bt afericao-bt ;995;negativacao ;691;0,69;3,55;0;2,62
negativacao ;913226;fiscalizacao-bt afericao-bt ;691;0;3,55;0;1
negativacao afericao-bt ;11442;fiscalizacao-bt ;691;0,06;4,4;0;1,05
negativacao fiscalizacao-bt ;35516;afericao-bt ;691;0,02;3,36;0;1,01
afericao-bt ;27085;religacao-bt substituicao-bt ;690;0,03;25,76;0;1,03
afericao-bt substituicao-bt ;2901;religacao-bt ;690;0,24;2,9;0;1,2
alterar-carga-bt ;13586;modifmanut-medic-bt ;690;0,05;4,8;0;1,04
alterar-carga-bt ;13586;verif-instalacao-bt ;690;0,05;3,86;0;1,04
modifmanut-medic-bt ;49414;alterar-carga-bt ;690;0,01;4,8;0;1,01
reclamacao ;207044;religacao-bt toi ;690;0;3,98;0;1
reclamacao toi ;2136;religacao-bt ;690;0,32;3,94;0;1,36
religacao-bt ;383478;afericao-bt substituicao-bt ;690;0;2,9;0;1
religacao-bt ;383478;reclamacao toi ;690;0;3,94;0;1
religacao-bt afericao-bt ;6154;substituicao-bt ;690;0,11;20,52;0;1,12
religacao-bt reclamacao ;57459;toi ;690;0,01;1,61;0;1
religacao-bt substituicao-bt ;4622;afericao-bt ;690;0,15;25,76;0;1,17
religacao-bt toi ;3912;reclamacao ;690;0,18;3,98;0;1,16
substituicao-bt ;25541;religacao-bt afericao-bt ;690;0,03;20,52;0;1,03
toi ;34778;religacao-bt reclamacao ;690;0,02;1,61;0;1,01
verif-instalacao-bt ;61563;alterar-carga-bt ;690;0,01;3,86;0;1,01
corte-bt ;489093;religacao-bt retificacao-nome-end ;687;0;5,95;0;1
corte-bt religacao-bt ;308806;retificacao-nome-end ;687;0;1,57;0;1
corte-bt retificacao-nome-end ;858;religacao-bt ;687;0,8;9,76;0;4,58
religacao-bt ;383478;corte-bt retificacao-nome-end ;687;0;9,76;0;1
religacao-bt retificacao-nome-end ;1104;corte-bt ;687;0,62;5,95;0;2,36
retificacao-nome-end ;6637;corte-bt religacao-bt ;687;0,1;1,57;0;1,04
fiscalizacao-bt ;64097;religacao-bt modifmanut-medic-bt ;682;0,01;6,42;0;1,01
fiscalizacao-bt modifmanut-medic-bt ;1333;religacao-bt ;682;0,51;6,24;0;1,88
modifmanut-medic-bt ;49414;religacao-bt fiscalizacao-bt ;682;0,01;2,3;0;1,01
religacao-bt ;383478;fiscalizacao-bt modifmanut-medic-bt ;682;0;6,24;0;1
religacao-bt fiscalizacao-bt ;28078;modifmanut-medic-bt ;682;0,02;2,3;0;1,01
religacao-bt modifmanut-medic-bt ;7741;fiscalizacao-bt ;682;0,09;6,42;0;1,08
corte-bt ;489093;religacao-bt dados-do-atendimento ;674;0;8,19;0;1
corte-bt dados-do-atendimento ;769;religacao-bt ;674;0,88;10,68;0;7,35
corte-bt religacao-bt ;308806;dados-do-atendimento ;674;0;5,13;0;1
dados-do-atendimento ;1989;corte-bt religacao-bt ;674;0,34;5,13;0;1,41
religacao-bt ;383478;corte-bt dados-do-atendimento ;674;0;10,68;0;1
religacao-bt dados-do-atendimento ;786;corte-bt ;674;0,86;8,19;0;6,23
modifmanut-medic-bt ;49414;vistoria-bt ;672;0,01;4,77;0;1,01
vistoria-bt ;13317;modifmanut-medic-bt ;672;0,05;4,77;0;1,04
fiscalizacao-bt ;64097;substituicao-bt ;668;0,01;1,91;0;1
substituicao-bt ;25541;fiscalizacao-bt ;668;0,03;1,91;0;1,01
corte-bt ;489093;processo modifmanut-medic-bt ;666;0;2,87;0;1
corte-bt modifmanut-medic-bt ;8508;processo ;666;0,08;4,58;0;1,07
corte-bt processo ;18620;modifmanut-medic-bt ;666;0,04;3,38;0;1,03
modifmanut-medic-bt ;49414;corte-bt processo ;666;0,01;3,38;0;1,01
processo ;79963;corte-bt modifmanut-medic-bt ;666;0,01;4,58;0;1,01
processo modifmanut-medic-bt ;2221;corte-bt ;666;0,3;2,87;0;1,28
afericao-bt ;27085;religacao-bt fiscalizacao-bt ;656;0,02;4,03;0;1,02
fiscalizacao-bt ;64097;religacao-bt afericao-bt ;656;0,01;7,77;0;1,01
fiscalizacao-bt afericao-bt ;995;religacao-bt ;656;0,66;8,04;0;2,69
religacao-bt ;383478;fiscalizacao-bt afericao-bt ;656;0;8,04;0;1
religacao-bt afericao-bt ;6154;fiscalizacao-bt ;656;0,11;7,77;0;1,1
religacao-bt fiscalizacao-bt ;28078;afericao-bt ;656;0,02;4,03;0;1,02
fiscalizacao-bt ;64097;religacao-bt toi ;647;0,01;12,06;0;1,01
fiscalizacao-bt toi ;2832;religacao-bt ;647;0,23;2,78;0;1,19
religacao-bt ;383478;fiscalizacao-bt toi ;647;0;2,78;0;1
religacao-bt fiscalizacao-bt ;28078;toi ;647;0,02;3,1;0;1,02
religacao-bt toi ;3912;fiscalizacao-bt ;647;0,17;12,06;0;1,18
toi ;34778;religacao-bt fiscalizacao-bt ;647;0,02;3,1;0;1,01
afericao-bt ;27085;negativacao modifmanut-medic-bt ;645;0,02;7,09;0;1,02
modifmanut-medic-bt ;49414;negativacao afericao-bt ;645;0,01;5,33;0;1,01
modifmanut-medic-bt ;49414;religacao-bt verif-instalacao-bt ;645;0,01;6,69;0;1,01
modifmanut-medic-bt afericao-bt ;1651;negativacao ;645;0,39;2;0;1,32
negativacao ;913226;modifmanut-medic-bt afericao-bt ;645;0;2;0;1
negativacao afericao-bt ;11442;modifmanut-medic-bt ;645;0,06;5,33;0;1,05
negativacao modifmanut-medic-bt ;15703;afericao-bt ;645;0,04;7,09;0;1,04
processo ;79963;ren verif-instalacao-bt ;645;0,01;3,6;0;1,01
processo verif-instalacao-bt ;2925;ren ;645;0,22;3,36;0;1,2
religacao-bt ;383478;verif-instalacao-bt modifmanut-medic-bt ;645;0;2,46;0;1
religacao-bt modifmanut-medic-bt ;7741;verif-instalacao-bt ;645;0,08;6,33;0;1,08
religacao-bt verif-instalacao-bt ;9126;modifmanut-medic-bt ;645;0,07;6,69;0;1,06
ren ;306902;processo verif-instalacao-bt ;645;0;3,36;0;1
ren processo ;11224;verif-instalacao-bt ;645;0,06;4,36;0;1,05
ren verif-instalacao-bt ;10484;processo ;645;0,06;3,6;0;1,05
verif-instalacao-bt ;61563;religacao-bt modifmanut-medic-bt ;645;0,01;6,33;0;1,01
verif-instalacao-bt ;61563;ren processo ;645;0,01;4,36;0;1,01
verif-instalacao-bt modifmanut-medic-bt ;3192;religacao-bt ;645;0,2;2,46;0;1,15
